Date,Close,Open,High,Low
"Jul 23, 2021","35,040.90","34,800.00","35,129.90","34,405.50"
"Jul 22, 2021","34,724.85","34,802.00","35,049.00","34,599.95"
"Jul 20, 2021","34,487.10","34,955.65","35,000.75","34,440.00"
"Jul 19, 2021","35,170.75","35,222.20","35,449.95","34,965.50"
"Jul 16, 2021","35,856.50","36,049.90","36,075.90","35,737.00"
"Jul 15, 2021","35,988.25","35,760.05","36,067.95","35,718.65"
"Jul 14, 2021","35,755.60","35,650.00","35,885.00","35,555.15"
"Jul 13, 2021","35,761.65","35,530.00","35,815.00","35,461.15"
"Jul 12, 2021","35,311.55","35,386.00","35,569.35","35,152.05"
"Jul 09, 2021","35,270.35","35,326.30","35,372.00","34,980.00"
"Jul 08, 2021","35,411.00","35,712.00","35,944.25","35,261.60"
"Jul 07, 2021","35,865.60","35,599.70","35,899.00","35,470.10"
"Jul 06, 2021","35,677.40","35,273.95","35,925.00","35,273.95"
"Jul 05, 2021","35,336.90","35,080.00","35,366.00","35,055.60"
"Jul 02, 2021","34,951.65","34,934.00","35,099.00","34,760.00"
"Jul 01, 2021","34,853.05","34,975.75","35,086.35","34,810.85"
"Jun 30, 2021","34,937.55","35,227.85","35,392.30","34,892.50"
"Jun 29, 2021","35,186.10","35,250.50","35,467.10","35,090.05"
"Jun 28, 2021","35,516.15","35,698.95","35,990.00","35,350.00"
"Jun 25, 2021","35,488.65","35,050.15","35,665.50","35,001.10"
"Jun 24, 2021","34,827.00","34,699.25","34,970.00","34,579.30"
"Jun 23, 2021","34,611.90","34,949.70","34,972.00","34,555.10"
"Jun 22, 2021","34,775.80","35,110.00","35,286.75","34,719.10"
"Jun 21, 2021","34,911.10","34,388.00","34,949.00","33,955.10"
"Jun 18, 2021","34,596.75","34,800.00","34,837.85","33,937.00"
"Jun 17, 2021","34,682.20","34,699.95","34,970.05","34,486.40"
"Jun 16, 2021","35,101.35","35,233.00","35,463.90","35,005.00"
"Jun 15, 2021","35,330.40","35,035.00","35,425.95","34,960.60"
"Jun 14, 2021","35,065.10","35,024.00","35,130.00","34,455.00"
"Jun 11, 2021","35,169.35","35,420.00","35,474.95","34,977.70"
"Jun 10, 2021","35,266.35","34,980.00","35,320.00","34,830.00"
"Jun 09, 2021","34,929.35","35,281.00","35,547.60","34,757.65"
"Jun 08, 2021","35,265.30","35,536.80","35,569.80","35,123.00"
"Jun 07, 2021","35,622.20","35,540.05","35,740.00","35,494.00"
"Jun 04, 2021","35,508.50","35,770.00","35,960.80","35,350.00"
"Jun 03, 2021","35,781.95","35,662.20","35,890.00","35,553.00"
"Jun 02, 2021","35,524.25","35,380.00","35,560.00","35,180.00"
"Jun 01, 2021","35,454.10","35,677.95","35,797.45","35,313.95"
"May 31, 2021","35,602.90","35,280.00","35,650.00","35,063.15"
"May 28, 2021","35,321.80","35,499.00","35,670.00","35,150.00"
"May 27, 2021","35,095.05","34,605.60","35,110.30","34,522.05"
"May 26, 2021","34,723.95","34,810.00","34,989.90","34,502.15"
"May 25, 2021","34,758.05","35,149.00","35,193.95","34,434.00"
"May 24, 2021","34,998.10","34,900.00","35,348.00","34,556.00"
"May 21, 2021","34,763.15","33,600.15","34,855.00","33,589.90"
"May 20, 2021","33,445.70","33,779.00","33,913.75","33,387.00"
"May 19, 2021","33,800.75","33,810.00","34,030.00","33,655.00"
"May 18, 2021","34,045.20","33,944.75","34,244.00","33,801.05"
"May 17, 2021","33,548.85","32,452.00","33,605.15","32,366.05"
"May 14, 2021","32,265.20","32,500.05","32,698.65","32,184.00"
"May 12, 2021","32,520.30","32,775.00","32,817.00","32,423.05"
"May 11, 2021","32,952.50","32,755.00","33,288.95","32,700.00"
"May 10, 2021","33,302.65","33,250.00","33,500.00","33,165.00"
"May 07, 2021","33,038.40","33,203.35","33,367.65","32,861.70"
"May 06, 2021","32,953.75","33,107.85","33,144.40","32,655.00"
"May 05, 2021","32,973.65","32,730.00","33,060.70","32,134.70"
"May 04, 2021","32,422.55","32,755.05","33,206.00","32,316.50"
"May 03, 2021","32,655.85","32,350.00","32,757.65","31,625.00"
"Apr 30, 2021","32,893.55","33,197.65","33,599.65","32,812.10"
"Apr 29, 2021","33,714.50","33,902.25","34,298.85","33,271.80"
"Apr 28, 2021","33,696.20","32,874.00","33,764.90","32,833.90"
"Apr 27, 2021","32,741.95","32,238.00","32,784.70","32,150.05"
"Apr 26, 2021","32,302.55","32,221.20","32,624.95","32,150.55"
"Apr 23, 2021","31,709.60","31,505.00","32,169.90","31,376.40"
"Apr 22, 2021","31,762.85","30,798.55","31,823.75","30,588.95"
"Apr 20, 2021","31,120.55","31,589.00","31,784.30","30,917.00"
"Apr 19, 2021","31,239.70","31,105.25","31,337.50","30,451.60"
"Apr 16, 2021","32,075.65","32,260.00","32,439.20","31,986.45"
"Apr 15, 2021","32,206.95","31,950.20","32,294.60","31,450.00"
"Apr 13, 2021","31,865.60","31,002.05","32,019.90","30,779.15"
"Apr 12, 2021","30,869.25","31,821.00","31,900.00","30,610.00"
"Apr 09, 2021","32,617.55","32,312.00","33,174.00","32,251.25"
"Apr 08, 2021","32,945.70","33,331.00","33,489.95","32,851.50"
"Apr 07, 2021","33,151.40","32,560.35","33,370.00","32,298.30"
"Apr 06, 2021","32,691.55","33,021.00","33,175.00","32,461.65"
"Apr 05, 2021","32,817.15","33,925.00","33,999.00","32,412.00"
"Apr 01, 2021","34,155.20","33,693.00","34,250.00","33,390.05"
"Mar 31, 2021","33,478.45","33,939.65","33,945.85","33,266.30"
"Mar 30, 2021","34,046.80","33,915.20","34,180.00","33,693.60"
"Mar 26, 2021","33,584.70","33,750.00","33,834.40","33,336.75"
"Mar 25, 2021","33,006.45","33,408.45","33,590.00","32,391.65"
"Mar 24, 2021","33,358.30","33,888.85","34,016.70","33,254.90"
"Mar 23, 2021","34,244.05","33,760.00","34,424.90","33,635.00"
"Mar 22, 2021","33,685.20","34,035.30","34,189.90","33,413.00"
"Mar 19, 2021","34,205.60","33,600.30","34,450.00","33,380.05"
"Mar 18, 2021","33,888.25","34,579.80","34,820.00","33,668.55"
"Mar 17, 2021","34,360.65","34,900.00","35,184.15","34,230.25"
"Mar 16, 2021","34,923.40","35,425.00","35,494.00","34,790.00"
"Mar 15, 2021","35,304.70","35,485.50","35,544.00","34,455.00"
"Mar 12, 2021","35,522.10","36,505.25","36,554.00","35,206.55"
"Mar 10, 2021","36,007.75","36,244.00","36,244.00","35,816.00"
"Mar 09, 2021","35,932.95","35,668.00","36,154.00","35,604.00"
"Mar 08, 2021","35,316.05","35,501.05","35,888.50","35,100.00"
"Mar 05, 2021","35,287.95","35,500.00","35,660.00","34,887.90"
"Mar 04, 2021","35,879.75","35,726.25","36,421.25","35,530.00"
"Mar 03, 2021","36,491.75","35,750.00","36,580.95","35,666.80"
"Mar 02, 2021","35,454.85","35,460.05","35,754.80","34,983.05"
"Mar 01, 2021","35,324.55","35,350.00","35,615.00","34,983.05"
"Feb 26, 2021","34,870.35","36,000.00","36,080.00","34,660.00"
"Feb 25, 2021","36,549.00","36,502.00","37,243.40","36,482.35"
"Feb 24, 2021","36,468.70","35,090.00","35,821.40","35,035.00"
"Feb 23, 2021","35,119.85","35,580.00","35,714.95","34,988.75"
"Feb 22, 2021","35,254.55","35,622.35","36,116.00","35,075.00"
"Feb 19, 2021","35,849.80","36,402.00","36,680.00","35,570.25"
"Feb 18, 2021","36,603.30","37,075.00","37,125.15","36,352.00"
"Feb 17, 2021","36,976.00","37,050.05","37,400.55","36,820.00"
"Feb 16, 2021","37,218.15","37,550.00","37,770.00","36,832.60"
"Feb 15, 2021","37,402.65","36,455.00","37,543.95","36,423.45"
"Feb 12, 2021","36,133.80","35,770.00","36,347.75","35,720.15"
"Feb 11, 2021","35,808.75","35,750.00","36,067.00","35,630.00"
"Feb 10, 2021","35,875.40","35,960.00","36,253.00","35,462.75"
"Feb 09, 2021","36,045.95","36,580.00","36,580.00","35,639.00"
"Feb 08, 2021","36,013.80","36,140.00","36,503.50","35,860.00"
"Feb 05, 2021","35,665.95","35,575.90","36,640.00","35,527.00"
"Feb 04, 2021","35,352.05","34,551.05","35,488.00","34,343.55"
"Feb 03, 2021","34,841.75","34,675.00","34,998.90","34,097.50"
"Feb 02, 2021","34,392.70","33,610.00","34,740.50","33,601.00"
"Feb 01, 2021","33,276.30","30,994.85","33,484.95","30,942.50"
"Jan 29, 2021","30,679.15","30,639.50","31,238.00","30,291.20"
"Jan 28, 2021","30,358.30","29,886.10","30,410.75","29,661.00"
"Jan 27, 2021","30,328.35","31,165.35","31,249.90","30,177.10"
"Jan 25, 2021","31,181.15","31,469.95","31,700.00","30,989.90"
"Jan 22, 2021","31,197.75","32,200.20","32,226.95","31,123.05"
"Jan 21, 2021","32,228.80","32,749.00","32,899.00","32,001.50"
"Jan 20, 2021","32,584.70","32,426.25","32,664.85","32,354.30"
"Jan 19, 2021","32,520.90","32,085.50","32,569.75","31,919.00"
"Jan 18, 2021","31,815.70","32,315.65","32,467.85","31,691.70"
"Jan 15, 2021","32,314.05","32,600.00","32,610.00","32,105.00"
"Jan 14, 2021","32,647.80","32,600.00","32,861.40","32,562.10"
"Jan 13, 2021","32,685.15","32,603.00","32,758.15","32,251.85"
